Feature_Name,Feature_Value,Total,Percentage
Feature_A,FA-2,2,0.026
Feature_A,FA-3,2,0.026
Feature_A,FA-4,3,0.039
Feature_A,FA-10,6,0.077
Feature_A,FA-11,7,0.09
Feature_A,FA-5,4,0.051
Feature_A,FA-13,18,0.23
Feature_A,FA-14,20,0.256
Feature_A,FA-12,16,0.205
Feature_A,FA-1,0,0.0
Feature_B,FB-9,1,0.067
Feature_B,FB-4,1,0.067
Feature_B,FB-5,1,0.067
Feature_B,FB-3,1,0.067
Feature_B,FB-10,1,0.067
Feature_B,FB-13,2,0.133
Feature_B,FB-2,2,0.133
Feature_B,FB-11,2,0.133
Feature_B,FB-1,2,0.133
Feature_B,FB-12,2,0.133
Feature_C,FC-2,2,0.026
Feature_C,FC-3,2,0.026
Feature_C,FC-7,6,0.077
Feature_C,FC-4,3,0.039
Feature_C,FC-8,7,0.09
Feature_C,FC-5,4,0.051
Feature_C,FC-10,18,0.23
Feature_C,FC-11,20,0.256
Feature_C,FC-9,16,0.205
Feature_C,FC-1,0,0.0
